--- Call started: 2025-10-05T21:42:38.615Z ---
Call ID: CA901a8e59abf1b87307aea1c30d84f9a2
Phone: unknown
---

[2025-10-05T21:42:41.103Z] Event: media
[2025-10-05T21:42:41.123Z] Event: media
[2025-10-05T21:42:41.143Z] Event: media
[2025-10-05T21:42:41.163Z] Event: media
[2025-10-05T21:42:41.183Z] Event: media
[2025-10-05T21:42:41.203Z] Event: media
[2025-10-05T21:42:41.223Z] Event: media
[2025-10-05T21:42:41.243Z] Event: media
[2025-10-05T21:42:41.263Z] Event: media
[2025-10-05T21:42:41.283Z] Event: media
[2025-10-05T21:42:41.303Z] Event: media
[2025-10-05T21:42:41.323Z] Event: media
[2025-10-05T21:42:41.344Z] Event: media
[2025-10-05T21:42:41.363Z] Event: media
[2025-10-05T21:42:41.383Z] Event: media
[2025-10-05T21:42:41.403Z] Event: media
[2025-10-05T21:42:41.423Z] Event: media
[2025-10-05T21:42:41.443Z] Event: media
[2025-10-05T21:42:41.463Z] Event: media
[2025-10-05T21:42:41.484Z] Event: media
[2025-10-05T21:42:41.503Z] Event: media
[2025-10-05T21:42:41.523Z] Event: media
[2025-10-05T21:42:41.543Z] Event: media
[2025-10-05T21:42:41.563Z] Event: media
[2025-10-05T21:42:41.585Z] Event: media
[2025-10-05T21:42:41.604Z] Event: media
[2025-10-05T21:42:41.626Z] Event: media
[2025-10-05T21:42:41.643Z] Event: media
[2025-10-05T21:42:41.663Z] Event: media
[2025-10-05T21:42:41.683Z] Event: media
[2025-10-05T21:42:41.703Z] Event: media
[2025-10-05T21:42:41.723Z] Event: media
[2025-10-05T21:42:41.743Z] Event: media
[2025-10-05T21:42:41.763Z] Event: media
[2025-10-05T21:42:41.783Z] Event: media
[2025-10-05T21:42:41.803Z] Event: media
[2025-10-05T21:42:41.823Z] Event: media
[2025-10-05T21:42:41.843Z] Event: media
[2025-10-05T21:42:41.863Z] Event: media
[2025-10-05T21:42:41.883Z] Event: media
[2025-10-05T21:42:41.903Z] Event: media
[2025-10-05T21:42:41.923Z] Event: media
[2025-10-05T21:42:41.943Z] Event: media
[2025-10-05T21:42:41.963Z] Event: media
[2025-10-05T21:42:41.983Z] Event: media
[2025-10-05T21:42:42.003Z] Event: media
[2025-10-05T21:42:42.023Z] Event: media
[2025-10-05T21:42:42.043Z] Event: media
[2025-10-05T21:42:42.063Z] Event: media
[2025-10-05T21:42:42.083Z] Event: media
[2025-10-05T21:42:42.103Z] Event: media
[2025-10-05T21:42:42.123Z] Event: media
