--- Call started: 2025-10-05T22:26:39.003Z ---
Call ID: CA103e59a2720229134a97809bc5bad10c
Phone: unknown
---

[2025-10-05T22:26:41.549Z] Event: media
[2025-10-05T22:26:41.569Z] Event: media
[2025-10-05T22:26:41.590Z] Event: media
[2025-10-05T22:26:41.609Z] Event: media
[2025-10-05T22:26:41.629Z] Event: media
[2025-10-05T22:26:41.649Z] Event: media
[2025-10-05T22:26:41.669Z] Event: media
[2025-10-05T22:26:41.689Z] Event: media
[2025-10-05T22:26:41.709Z] Event: media
[2025-10-05T22:26:41.729Z] Event: media
[2025-10-05T22:26:41.749Z] Event: media
[2025-10-05T22:26:41.769Z] Event: media
[2025-10-05T22:26:41.789Z] Event: media
[2025-10-05T22:26:41.811Z] Event: media
[2025-10-05T22:26:41.829Z] Event: media
[2025-10-05T22:26:41.849Z] Event: media
[2025-10-05T22:26:41.869Z] Event: media
[2025-10-05T22:26:41.889Z] Event: media
[2025-10-05T22:26:41.909Z] Event: media
[2025-10-05T22:26:41.929Z] Event: media
[2025-10-05T22:26:41.952Z] Event: media
[2025-10-05T22:26:41.970Z] Event: media
[2025-10-05T22:26:41.991Z] Event: media
[2025-10-05T22:26:42.009Z] Event: media
[2025-10-05T22:26:42.030Z] Event: media
[2025-10-05T22:26:42.050Z] Event: media
[2025-10-05T22:26:42.071Z] Event: media
[2025-10-05T22:26:42.089Z] Event: media
[2025-10-05T22:26:42.110Z] Event: media
[2025-10-05T22:26:42.129Z] Event: media
[2025-10-05T22:26:42.149Z] Event: media
[2025-10-05T22:26:42.170Z] Event: media
[2025-10-05T22:26:42.189Z] Event: media
[2025-10-05T22:26:42.209Z] Event: media
[2025-10-05T22:26:42.229Z] Event: media
[2025-10-05T22:26:42.249Z] Event: media
[2025-10-05T22:26:42.269Z] Event: media
[2025-10-05T22:26:42.289Z] Event: media
[2025-10-05T22:26:42.309Z] Event: media
[2025-10-05T22:26:42.329Z] Event: media
[2025-10-05T22:26:42.349Z] Event: media
[2025-10-05T22:26:42.369Z] Event: media
[2025-10-05T22:26:42.389Z] Event: media
[2025-10-05T22:26:42.409Z] Event: media
[2025-10-05T22:26:42.429Z] Event: media
[2025-10-05T22:26:42.449Z] Event: media
[2025-10-05T22:26:42.469Z] Event: media
[2025-10-05T22:26:42.489Z] Event: media
[2025-10-05T22:26:42.509Z] Event: media
[2025-10-05T22:26:42.529Z] Event: media
